query_text,department
"fever, back pain, shortness of breath",General Medicine
"insomnia, back pain, weight loss",Endocrinology
"sore throat, vomiting, diarrhea",General Medicine
"blurred vision, depression, weight loss, muscle pain",Neurology
"swelling, appetite loss, nausea",Cardiology
"vomiting, swelling, dizziness, fatigue",Cardiology
"anxiety, shortness of breath, appetite loss, cough, back pain",Gastroenterology
"sore throat, weight loss, chest pain, depression, anxiety, rash",Pulmonology
"insomnia, diarrhea, swelling",Pulmonology
"joint pain, shortness of breath, runny nose",ENT
"vomiting, insomnia, shortness of breath, blurred vision, depression",Gastroenterology
"back pain, diarrhea, nausea, runny nose, joint pain, shortness of breath, depression",Endocrinology
"sweating, swelling, cough, diarrhea, appetite loss",Pulmonology
"weight gain, blurred vision, dizziness, vomiting",Pulmonology
"headache, shortness of breath, tremors, diarrhea, back pain, weight loss",Orthopedics
"weight gain, joint pain, rash, diarrhea, headache, abdominal pain",Orthopedics
"headache, depression, nausea",Gastroenterology
"joint pain, anxiety, runny nose",ENT
"insomnia, back pain, fatigue",Orthopedics
"fatigue, chest pain, muscle pain, nausea, runny nose",ENT
"headache, rash, swelling, nausea",Dermatology
"sneezing, fever, fatigue, rash, sweating",Dermatology
"weight gain, sore throat, back pain, sneezing",General Medicine
"muscle pain, vomiting, weight loss, swelling, back pain, blurred vision, sweating",Orthopedics
"runny nose, abdominal pain, fatigue, diarrhea, sore throat",ENT
"weight gain, diarrhea, fever, sore throat",Neurology
"cough, tremors, dizziness",Pulmonology
"vomiting, weight loss, headache, back pain, weight gain, swelling",Cardiology
"vomiting, fatigue, sweating, insomnia, muscle pain, rash",Psychiatry
"diarrhea, vomiting, weight loss",Gastroenterology
"runny nose, diarrhea, tremors, sore throat, appetite loss",Endocrinology
"sweating, fever, sore throat, swelling, diarrhea, nausea, muscle pain",General Medicine
"cough, nausea, joint pain, fever, appetite loss, shortness of breath",Orthopedics
"insomnia, blurred vision, sneezing, headache, vomiting, chest pain, back pain",Orthopedics
"back pain, dizziness, cough",Neurology
"nausea, cough, abdominal pain, sore throat, tremors, swelling, anxiety",Neurology
"weight gain, diarrhea, anxiety",Gastroenterology
"weight gain, abdominal pain, dizziness, shortness of breath, vomiting, insomnia, appetite loss",Pulmonology
"runny nose, dizziness, swelling, sore throat, fever",ENT
"weight loss, vomiting, abdominal pain",Pulmonology
"diarrhea, rash, chest pain",Dermatology
"headache, shortness of breath, fatigue",Pulmonology
"anxiety, vomiting, blurred vision, dizziness, insomnia",Cardiology
"tremors, cough, sore throat, depression, muscle pain",Neurology
"swelling, headache, depression, shortness of breath, nausea",Pulmonology
"weight loss, fever, fatigue, sore throat, blurred vision, headache",ENT
"headache, muscle pain, tremors, cough, chest pain, rash, swelling",Dermatology
"rash, swelling, weight loss",Dermatology
"tremors, nausea, appetite loss, muscle pain",Gastroenterology
"appetite loss, muscle pain, insomnia, tremors, back pain",Pulmonology
"joint pain, tremors, cough",Endocrinology
"rash, chest pain, appetite loss, diarrhea, swelling, fever",Psychiatry
"tremors, sore throat, swelling, shortness of breath, rash",Gastroenterology
"dizziness, fever, fatigue, shortness of breath, nausea, weight gain, swelling",Pulmonology
"back pain, appetite loss, dizziness, muscle pain, anxiety",Orthopedics
"vomiting, shortness of breath, cough, blurred vision, muscle pain, fever, abdominal pain",Pulmonology
"rash, muscle pain, sore throat, insomnia",Endocrinology
"back pain, chest pain, abdominal pain",Orthopedics
"blurred vision, chest pain, weight loss, headache, vomiting, muscle pain",Gastroenterology
"anxiety, weight gain, chest pain, joint pain",Endocrinology
"insomnia, vomiting, abdominal pain, sneezing, back pain, nausea",Orthopedics
"dizziness, sore throat, swelling, diarrhea, insomnia, chest pain, appetite loss",Neurology
"diarrhea, sneezing, anxiety",Gastroenterology
"vomiting, blurred vision, sweating, joint pain, sneezing, swelling, diarrhea",Orthopedics
"swelling, muscle pain, diarrhea",Gastroenterology
"weight loss, diarrhea, tremors",Gastroenterology
"insomnia, abdominal pain, weight loss, anxiety, dizziness, runny nose",Psychiatry
"runny nose, nausea, back pain, sneezing, tremors, shortness of breath, diarrhea",Psychiatry
"sneezing, depression, diarrhea, shortness of breath, runny nose, sore throat, chest pain",ENT
"sore throat, headache, sweating, diarrhea, joint pain, blurred vision, appetite loss",Gastroenterology
"dizziness, weight loss, runny nose, muscle pain, cough, vomiting",ENT
"blurred vision, fever, swelling, weight gain, joint pain, sneezing, sweating",Orthopedics
"weight loss, back pain, sweating, tremors, anxiety, diarrhea",Orthopedics
"fever, joint pain, dizziness, insomnia, swelling, sweating",Orthopedics
"anxiety, weight loss, fever, joint pain",Pulmonology
"dizziness, vomiting, runny nose, tremors, swelling, joint pain",Cardiology
"sneezing, fever, back pain",Psychiatry
"swelling, depression, cough",Pulmonology
"anxiety, headache, diarrhea",Cardiology
"vomiting, runny nose, blurred vision, shortness of breath, rash, nausea, anxiety",Pulmonology
"sore throat, weight gain, blurred vision, sweating",ENT
"muscle pain, insomnia, rash, sore throat, abdominal pain, depression, dizziness",Gastroenterology
"rash, depression, runny nose, blurred vision, headache, muscle pain",Pulmonology
"appetite loss, weight loss, swelling, sneezing, runny nose, muscle pain, weight gain",Cardiology
"shortness of breath, runny nose, diarrhea",Psychiatry
"dizziness, fever, sneezing, tremors, nausea, appetite loss",Gastroenterology
"anxiety, blurred vision, shortness of breath, weight loss, fever",Gastroenterology
"sneezing, weight loss, swelling, diarrhea, blurred vision, tremors",Gastroenterology
"sore throat, chest pain, diarrhea",Psychiatry
"rash, sneezing, weight loss, abdominal pain, tremors, muscle pain, appetite loss",Dermatology
"chest pain, shortness of breath, diarrhea, fatigue, back pain",Orthopedics
"swelling, blurred vision, nausea, vomiting, tremors, sneezing, shortness of breath",Endocrinology
"fatigue, sweating, vomiting, chest pain, diarrhea",Gastroenterology
"headache, shortness of breath, cough, appetite loss, weight loss, chest pain, tremors",Pulmonology
"shortness of breath, tremors, sneezing",Endocrinology
"weight gain, depression, insomnia",Neurology
"chest pain, sore throat, diarrhea, fatigue, weight loss, muscle pain, anxiety",Psychiatry
"joint pain, runny nose, sweating, chest pain, weight gain, muscle pain, swelling",ENT
"swelling, vomiting, depression",Gastroenterology
"diarrhea, nausea, weight loss, sore throat",Pulmonology
"sneezing, chest pain, cough, diarrhea, sweating, blurred vision, back pain",Orthopedics
"shortness of breath, appetite loss, depression, weight gain",Pulmonology
"diarrhea, depression, headache, shortness of breath, appetite loss, sore throat, cough",Pulmonology
"chest pain, runny nose, fatigue, sweating, blurred vision, tremors, joint pain",Endocrinology
"sore throat, anxiety, cough, muscle pain, back pain, dizziness",Neurology
"insomnia, sweating, tremors, weight gain",Pulmonology
"weight gain, cough, swelling, nausea, sneezing",Psychiatry
"nausea, weight gain, muscle pain, depression, sweating",Pulmonology
"dizziness, tremors, insomnia, fatigue, nausea, sweating",Gastroenterology
"sweating, swelling, weight loss, cough, runny nose, sore throat",ENT
"tremors, abdominal pain, fever, insomnia, weight loss, runny nose",Pulmonology
"anxiety, swelling, sneezing, depression, runny nose",Neurology
"headache, chest pain, runny nose, blurred vision, sneezing, fatigue, fever",Cardiology
"muscle pain, sweating, sneezing, diarrhea, runny nose",ENT
"abdominal pain, back pain, headache, sore throat, shortness of breath, muscle pain, dizziness",Cardiology
"chest pain, back pain, sweating",Psychiatry
"runny nose, weight loss, sneezing, rash",Neurology
"dizziness, vomiting, blurred vision, diarrhea, weight gain, joint pain",Orthopedics
"blurred vision, appetite loss, joint pain, sweating, insomnia, depression",Gastroenterology
"weight gain, dizziness, fatigue, runny nose, appetite loss, abdominal pain, swelling",ENT
"sore throat, sneezing, appetite loss, shortness of breath",ENT
"tremors, weight loss, cough, anxiety, sore throat, diarrhea",General Medicine
"fever, cough, dizziness, appetite loss, chest pain",Endocrinology
"anxiety, tremors, joint pain",Endocrinology
"headache, diarrhea, runny nose, depression, shortness of breath, appetite loss, back pain",Neurology
"insomnia, weight loss, nausea, sore throat, runny nose",ENT
"blurred vision, shortness of breath, runny nose, chest pain, vomiting, joint pain",General Medicine
"weight gain, rash, tremors, chest pain, blurred vision, swelling",Dermatology
"weight gain, tremors, insomnia",Cardiology
"sweating, chest pain, swelling, diarrhea, anxiety, rash",Endocrinology
"insomnia, swelling, back pain, sweating, headache",Orthopedics
"chest pain, appetite loss, runny nose",General Medicine
"sore throat, chest pain, dizziness, back pain",Endocrinology
"rash, abdominal pain, sweating, shortness of breath, nausea, swelling, sneezing",Dermatology
"appetite loss, fatigue, runny nose, sore throat, headache",ENT
"tremors, appetite loss, weight loss, rash, sore throat, joint pain",Endocrinology
"rash, insomnia, back pain, sweating, shortness of breath, weight gain",Pulmonology
"sneezing, fever, anxiety, weight loss",Pulmonology
"depression, sweating, runny nose",General Medicine
"headache, cough, chest pain",Pulmonology
"headache, joint pain, runny nose, rash, insomnia, blurred vision, weight loss",ENT
"muscle pain, depression, fatigue, sweating",Endocrinology
"blurred vision, rash, vomiting",Cardiology
"fatigue, insomnia, rash, weight loss, depression",Dermatology
"fatigue, tremors, sweating, runny nose",Cardiology
"fever, cough, appetite loss, dizziness, diarrhea, headache, weight gain",General Medicine
"vomiting, sweating, diarrhea, dizziness, headache, anxiety, fever",Cardiology
"appetite loss, nausea, fatigue, insomnia, tremors",Neurology
"weight gain, dizziness, fever, nausea",Gastroenterology
"abdominal pain, fatigue, back pain, sore throat, sneezing, runny nose",Endocrinology
"runny nose, abdominal pain, diarrhea",ENT
"chest pain, runny nose, depression, fever, cough, sneezing, joint pain",Psychiatry
"sore throat, tremors, dizziness, anxiety, headache, sweating",Neurology
"weight loss, blurred vision, dizziness, joint pain, anxiety, abdominal pain, chest pain",General Medicine
"back pain, vomiting, muscle pain, runny nose, diarrhea, appetite loss, dizziness",ENT
"sore throat, tremors, sweating, appetite loss, muscle pain, fatigue",ENT
"weight gain, weight loss, dizziness",Neurology
"tremors, back pain, cough, chest pain, anxiety, swelling",Gastroenterology
"headache, insomnia, sneezing, diarrhea",Neurology
"rash, fatigue, swelling, shortness of breath, weight gain, diarrhea, muscle pain",Dermatology
"fever, anxiety, insomnia, blurred vision, shortness of breath, tremors, nausea",Pulmonology
"rash, fever, nausea, tremors, headache",Pulmonology
"back pain, depression, fever, sore throat",Pulmonology
"runny nose, dizziness, nausea, rash, chest pain, sweating",ENT
"headache, nausea, swelling",Pulmonology
"runny nose, insomnia, muscle pain, sneezing, anxiety",Pulmonology
"fatigue, rash, muscle pain, tremors, chest pain, insomnia, blurred vision",Cardiology
"cough, diarrhea, joint pain, anxiety, fever",Orthopedics
"swelling, shortness of breath, chest pain, dizziness",Pulmonology
"nausea, headache, joint pain, weight loss, blurred vision, diarrhea",Endocrinology
"sore throat, joint pain, tremors, back pain, cough",Psychiatry
"tremors, dizziness, weight gain",Pulmonology
"chest pain, fatigue, joint pain, fever, dizziness, nausea",Orthopedics
"sore throat, muscle pain, tremors, fatigue, diarrhea",Psychiatry
"joint pain, tremors, chest pain",Neurology
"sore throat, abdominal pain, depression, fatigue",Gastroenterology
"rash, back pain, sweating, depression, headache",Orthopedics
"nausea, anxiety, headache, swelling",Cardiology
"runny nose, swelling, weight gain, sweating, appetite loss, tremors",Endocrinology
"dizziness, depression, tremors, headache, runny nose, sore throat, sneezing",General Medicine
"weight gain, cough, rash, abdominal pain, sore throat",Psychiatry
"rash, sweating, chest pain",General Medicine
"abdominal pain, joint pain, runny nose, weight gain, weight loss, cough, appetite loss",ENT
"anxiety, sneezing, abdominal pain, headache, cough",Cardiology
"abdominal pain, depression, nausea",Gastroenterology
"abdominal pain, tremors, anxiety, nausea, rash, back pain",Orthopedics
"insomnia, anxiety, cough, appetite loss, depression",Pulmonology
"weight loss, insomnia, joint pain",Gastroenterology
"tremors, headache, dizziness, sore throat, weight gain, insomnia, sweating",ENT
"headache, anxiety, blurred vision, sore throat, chest pain, weight loss",ENT
"insomnia, blurred vision, sweating, back pain",Psychiatry
"abdominal pain, rash, fever, sweating, chest pain, nausea",General Medicine
"headache, sore throat, chest pain, tremors",Cardiology
"sweating, back pain, abdominal pain, cough, insomnia, dizziness, anxiety",Orthopedics
"nausea, sweating, blurred vision, swelling",Gastroenterology
"muscle pain, rash, insomnia",Dermatology
"swelling, back pain, appetite loss, runny nose, diarrhea",ENT
"sweating, vomiting, rash, insomnia, weight gain, runny nose",Psychiatry
"muscle pain, nausea, vomiting, anxiety, headache, shortness of breath, cough",Neurology
"blurred vision, tremors, abdominal pain",Neurology
"shortness of breath, runny nose, abdominal pain, headache",Pulmonology
"sweating, runny nose, rash, fever",Pulmonology
